class,permission :: MOUNT_UNMOUNT_FILESYSTEMS,permission :: READ_PHONE_STATE,permission :: GET_TASKS,permission :: CHANGE_WIFI_STATE,permission :: SYSTEM_ALERT_WINDOW,permission :: WRITE_SETTINGS,permission :: ACCESS_WIFI_STATE,permission :: RECEIVE,permission :: C2D_MESSAGE,permission :: CHANGE_NETWORK_STATE,permission :: READ_LOGS,permission :: ACCESS_COARSE_LOCATION,permission :: READ_EXTERNAL_STORAGE,permission :: ACCESS_FINE_LOCATION,receiver :: AppMeasurementReceiver,service :: AppMeasurementService,permission :: INSTALL_SHORTCUT,permission :: READ_SETTINGS,permission :: CAMERA,permission :: RECORD_AUDIO,permission :: RECEIVE_USER_PRESENT,permission :: SEND_SMS,permission :: ACCESS_LOCATION_EXTRA_COMMANDS,permission :: WRITE_EXTERNAL_STORAGE,permission :: VIBRATE,permission :: RESTART_PACKAGES,permission :: CALL_PHONE,service :: DownloadService,permission :: RECEIVE_BOOT_COMPLETED,permission :: BLUETOOTH,permission :: DISABLE_KEYGUARD,permission :: CHANGE_CONFIGURATION,service :: CampaignTrackingService,service :: PushService,permission :: READ_SMS,permission :: JPUSH_MESSAGE,permission :: UNINSTALL_SHORTCUT,receiver :: service.AlarmReceiver,receiver :: service.PushReceiver,permission :: MODIFY_AUDIO_SETTINGS,permission :: RECEIVE_SMS,receiver :: GcmBroadcastReceiver,permission :: FLASHLIGHT,permission :: KILL_BACKGROUND_PROCESSES,service :: f,receiver :: FirebaseInstanceIdInternalReceiver,receiver :: FirebaseInstanceIdReceiver,receiver :: CampaignTrackingReceiver,permission :: BROADCAST_STICKY,permission :: READ_GSERVICES,service :: FirebaseInstanceIdService,permission :: BLUETOOTH_ADMIN,permission :: GET_ACCOUNTS,permission :: MANAGE_ACCOUNTS,permission :: REQUEST_INSTALL_PACKAGES,receiver :: GcmReceiver,permission :: DOWNLOAD_WITHOUT_NOTIFICATION,receiver :: AnalyticsReceiver,service :: AnalyticsService,permission :: WRITE_SMS,service :: RevocationBoundService,receiver :: PushReceiver,service :: DownloadingService,permission :: READ_CONTACTS,permission :: ACCESS_DOWNLOAD_MANAGER,permission :: GET_PACKAGE_SIZE,receiver :: DownloadReceiver,service :: MessageHandleService,permission :: INTERACT_ACROSS_USERS_FULL,permission :: MIPUSH_RECEIVE,receiver :: MyReceiver,service :: GCMIntentService,service :: PushMessageHandler,permission :: BATTERY_STATS,receiver :: MultipleInstallBroadcastReceiver,receiver :: NotificationProxyBroadcastReceiver,service :: UmengIntentService,service :: FirebaseMessagingService,permission :: PROCESS_OUTGOING_CALLS,receiver :: RegistrationReceiver,permission :: WRITE_APN_SETTINGS,permission :: REORDER_TASKS,service :: UmengDownloadResourceService,permission :: ACCESS_COARSE_UPDATES,service :: APSService,permission :: BROADCAST_PACKAGE_CHANGED,permission :: BROADCAST_PACKAGE_REPLACED,receiver :: service.receivers.NetworkStatusReceiver,permission :: BROADCAST_PACKAGE_ADDED,permission :: BROADCAST_PACKAGE_INSTALL,service :: XMPushService,permission :: EXPAND_STATUS_BAR,permission :: USE_CREDENTIALS,receiver :: service.receivers.PingReceiver,receiver :: AppMeasurementInstallReferrerReceiver,service :: UmengMessageIntentReceiverService,permission :: MAPS_RECEIVE,service :: CommonService,service :: UmengMessageCallbackHandlerService,receiver :: GCMBroadcastReceiver,receiver :: CommonReceiver,permission :: PACKAGE_USAGE_STATS,receiver :: InstallReferrerReceiver,permission :: SYSTEM_OVERLAY_WINDOW,permission :: CHANGE_WIFI_MULTICAST_STATE,permission :: SET_DEBUG_APP,receiver :: InstallReceiver,service :: XMJobService,permission :: INSTALL_PACKAGES,receiver :: AppRegister,permission :: CLEAR_APP_CACHE,permission :: RUN_INSTRUMENTATION,permission :: WRITE_CONTACTS,receiver :: MessageReceiver,permission :: ACCESS_MOCK_LOCATION,receiver :: SystemReceiver,permission :: RECEIVE_MMS,service :: ChannelService,service :: ChannelService$KernelService,service :: MsgDistributeService,receiver :: AgooCommondReceiver,service :: AgooService,permission :: CHANGE_BADGE,service :: MyInstanceIDListenerService,service :: FirebaseCrashReceiverService,service :: FirebaseCrashSenderService,permission :: READ_CALL_LOG,receiver :: EventReceiver,receiver :: ServiceReceiver,receiver :: PushManagerReceiver,permission :: ACCESS_MTK_MMHW,service :: Stub02,permission :: WRITE_SECURE_SETTINGS,service :: UmengService,service :: DefaultTinkerResultService,service :: QhJobService,receiver :: service.PayloadReceiver,service :: GetuiExtService,receiver :: ResponseReceiver,receiver :: JPushReceiver,service :: SoService,service :: TinkerResultService,service :: MyGcmListenerService,receiver :: ReferrerReceiver
1,1,1,1,1,0,1,1,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1,0,1,0,0,1,1,0,1,1,0,0,0,0,1,0,0,1,1,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,0,1,0,1,0,0,1,0,1,0,1,0,0,1,1,0,1,0,0,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
1,1,1,1,1,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,0,0,0,1,1,0,0,0,0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,1,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
