class,android.permission.READ_CALENDAR,com.android.browser.permission.WRITE_HISTORY_BOOKMARKS,com.android.launcher.permission.INSTALL_SHORTCUT,android.permission.CHANGE_WIFI_MULTICAST_STATE,android.permission.WRITE_SYNC_SETTINGS,android.permission.SET_ORIENTATION,android.permission.SYSTEM_ALERT_WINDOW,android.permission.ACCESS_LOCATION_EXTRA_COMMANDS,android.permission.CHANGE_WIFI_STATE,android.permission.RECORD_AUDIO,android.permission.READ_PROFILE,android.permission.CAPTURE_SECURE_VIDEO_OUTPUT,android.permission.ACCESS_ALL_DOWNLOADS,android.permission.BLUETOOTH,android.permission.ACCESS_WIFI_STATE,android.permission.SET_WALLPAPER_HINTS,android.permission.ACCESS_NETWORK_STATE,com.android.browser.permission.READ_HISTORY_BOOKMARKS,android.permission.RECEIVE_SMS,android.permission.WRITE_CONTACTS,android.permission.READ_CONTACTS,android.permission.ACCESS_DOWNLOAD_MANAGER_ADVANCED,android.permission.WRITE_SETTINGS,com.android.launcher.permission.WRITE_SETTINGS,android.permission.MODIFY_AUDIO_SETTINGS,android.permission.READ_LOGS,android.permission.PROCESS_OUTGOING_CALLS,android.permission.WRITE_CALENDAR,android.permission.MANAGE_ACCOUNTS,android.permission.SEND_SMS,android.permission.INTERACT_ACROSS_USERS_FULL,android.permission.ACCESS_MOCK_LOCATION,android.permission.WRITE_SMS,android.permission.GET_TASKS,android.permission.DOWNLOAD_WITHOUT_NOTIFICATION,android.permission.RECEIVE_BOOT_COMPLETED,android.permission.VIBRATE,android.permission.CALL_PHONE,android.permission.FLASHLIGHT,android.permission.READ_PHONE_STATE,android.permission.KILL_BACKGROUND_PROCESSES,android.permission.CAMERA,android.permission.WAKE_LOCK,android.permission.RESTART_PACKAGES,android.permission.GET_ACCOUNTS,android.permission.CHANGE_NETWORK_STATE,android.permission.READ_SYNC_SETTINGS,android.permission.DISABLE_KEYGUARD,com.android.launcher.permission.UNINSTALL_SHORTCUT,android.permission.USE_CREDENTIALS,android.permission.READ_USER_DICTIONARY,android.permission.WRITE_MEDIA_STORAGE,android.permission.ACCESS_COARSE_LOCATION,android.permission.BLUETOOTH_ADMIN,android.permission.ACCESS_FINE_LOCATION,android.permission.SET_WALLPAPER,android.permission.WRITE_EXTERNAL_STORAGE,android.permission.READ_EXTERNAL_STORAGE,android.permission.AUTHENTICATE_ACCOUNTS,com.android.launcher.permission.READ_SETTINGS,com.android.alarm.permission.SET_ALARM,android.permission.CAPTURE_VIDEO_OUTPUT,android.permission.READ_SMS,android.permission.BATTERY_STATS,android.permission.BROADCAST_STICKY,android.permission.MOUNT_UNMOUNT_FILESYSTEMS
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
