class,Network communication : view network state (S),Your personal information : write Browser's history and bookmarks (D),Your personal information : read Browser's history and bookmarks (D),Your location : mock location sources for testing (D),Your location : fine (GPS) location (D),Phone calls : read phone state and identity (D),Your accounts : discover known accounts (S),System tools : set wallpaper (S),Your personal information : read sensitive log data (D),System tools : modify global system settings (D),Network communication : full Internet access (D),System tools : retrieve running applications (D),Services that cost you money : directly call phone numbers (D),Your location : access extra location provider commands (S),Hardware controls : control vibrator (S),Your accounts : manage the accounts list (D),System tools : write sync settings (D),System tools : read sync settings (S),Storage : modify/delete USB storage contents modify/delete SD card contents (D),System tools : automatically start at boot (S),System tools : prevent device from sleeping (D),Your personal information : read contact data (D),Your accounts : act as an account authenticator (D),Default : bind to a wallpaper (S),System tools : send sticky broadcast (S),Your personal information : add or modify calendar events and send email to guests (D),Default : delete applications (S),Your personal information : read calendar events (D),Default : delete other applications' data (S),Your messages : receive MMS (D),Default : Install DRM content. (S),System tools : read sync statistics (S),Hardware controls : take pictures and videos (D),Your accounts : use the authentication credentials of an account (D),Default : force device reboot (S),Default : display unauthorized windows (S),Your accounts : read Google service configuration (S),Your accounts : access other Google services (D),Your personal information : write contact data (D),System tools : display system-level alerts (D),Hardware controls : record audio (D),Default : read frame buffer (S),System tools : write subscribed feeds (D),Default : modify secure system settings (S),System tools : measure application storage space (S),Phone calls : modify phone state (S)
0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
